mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.09238600730895996,0.006861366565385614,0.029616355895996094,0.0006370207438340426,8,5,50,"{'max_depth': 8, 'min_samples_leaf': 5, 'n_estimators': 50}",-0.45560603012062095,-0.4428983554124531,-0.42991956448755553,-0.4428079833402099,0.01048665038714282,1
0.10134037335713704,0.010493340607581971,0.02884840965270996,0.0015677667695754263,,5,50,"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 50}",-0.45560603012062095,-0.44295805612225453,-0.42992044100848054,-0.44282817575045197,0.010486500010097467,2
0.09381945927937825,0.003115599101749783,0.027370929718017578,0.00065250093680909,16,5,50,"{'max_depth': 16, 'min_samples_leaf': 5, 'n_estimators': 50}",-0.4556060301206208,-0.4429580561222547,-0.4299204410084804,-0.44282817575045197,0.010486500010097445,2
0.16433350245157877,0.006977700676605475,0.04016669591267904,0.0036473436331402945,8,5,100,"{'max_depth': 8, 'min_samples_leaf': 5, 'n_estimators': 100}",-0.45774507452613683,-0.44708513136391576,-0.4303488985965181,-0.44505970149552354,0.011275767187660646,4
0.16807134946187338,0.00641992658424392,0.04186058044433594,0.0015339817411317727,,5,100,"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 100}",-0.4577450745261359,-0.4470687837186675,-0.43125158876876435,-0.4453551490045225,0.010883584116890723,5
0.15204286575317383,0.006995247318168949,0.03382277488708496,0.0009723271094452972,16,5,100,"{'max_depth': 16, 'min_samples_leaf': 5, 'n_estimators': 100}",-0.45774507452613633,-0.447068783718668,-0.4312515887687649,-0.4453551490045231,0.010883584116890678,6
0.31315183639526367,0.007596125495169951,0.05075367291768392,0.0009486047055199283,8,5,200,"{'max_depth': 8, 'min_samples_leaf': 5, 'n_estimators': 200}",-0.4566898351564774,-0.4480408551778254,-0.43330670430967105,-0.4460124648813246,0.009653271550651286,7
0.32567445437113446,0.0028375046832232317,0.05284857749938965,0.0017971153464046439,,5,200,"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 200}",-0.4566898351564774,-0.4483498213137374,-0.43422718680259675,-0.4464222810909371,0.009271073337732028,8
0.24095805486043295,0.003244021784049597,0.04201984405517578,0.0038582756306136078,16,5,200,"{'max_depth': 16, 'min_samples_leaf': 5, 'n_estimators': 200}",-0.4566898351564775,-0.4483498213137381,-0.4342271868025971,-0.44642228109093757,0.009271073337731969,9
0.09011133511861165,0.00438893854131041,0.02709341049194336,0.0018474827038189353,8,3,50,"{'max_depth': 8, 'min_samples_leaf': 3, 'n_estimators': 50}",-0.46888400215461934,-0.4555887873050511,-0.4234433499399283,-0.4493053797998663,0.01907571101044966,10
